Date,Product,Region,Units,Price,Revenue
2023-05-25,Monitor,North,12,1404,16848
2023-09-29,Keyboard,East,9,1197,10773
2023-05-10,Tablet,North,12,843,10116
2023-06-15,Laptop,West,16,688,11008
2023-05-11,Keyboard,South,19,782,14858
2023-01-03,Laptop,North,13,1298,16874
2023-08-07,Monitor,North,7,441,3087
2023-04-18,Laptop,South,12,243,2916
2023-06-05,Laptop,East,9,1079,9711
2023-09-20,Monitor,West,9,910,8190
2023-05-12,Phone,North,5,836,4180
2023-10-23,Phone,North,2,714,1428
2023-04-16,Phone,North,19,254,4826
2023-10-13,Laptop,West,12,649,7788
2023-12-25,Keyboard,South,13,300,3900
2023-12-04,Keyboard,East,11,947,10417
2023-01-09,Phone,East,10,1008,10080
2023-12-19,Laptop,South,9,856,7704
2023-10-19,Monitor,East,20,877,17540
2023-12-29,Keyboard,North,18,493,8874
2023-12-09,Keyboard,East,6,662,3972
2023-04-01,Monitor,East,20,1398,27960
2023-02-15,Tablet,East,2,680,1360
2023-03-24,Monitor,North,20,368,7360
2023-09-09,Monitor,North,6,1380,8280
2023-08-30,Tablet,South,10,1338,13380
2023-01-30,Tablet,West,1,569,569
2023-07-08,Tablet,North,3,1072,3216
2023-07-02,Phone,East,13,1362,17706
2023-12-03,Phone,East,9,1418,12762
2023-11-03,Monitor,North,9,1454,13086
2023-06-16,Phone,West,6,1122,6732
2023-08-18,Tablet,West,17,147,2499
2023-02-14,Keyboard,West,16,956,15296
2023-10-01,Laptop,West,11,521,5731
2023-03-07,Laptop,South,13,266,3458
2023-05-05,Laptop,East,19,775,14725
2023-03-06,Keyboard,South,11,729,8019
2023-02-10,Monitor,South,16,1002,16032
2023-07-14,Phone,West,1,1050,1050
2023-08-12,Tablet,South,20,519,10380
2023-06-10,Monitor,West,11,1472,16192
2023-05-19,Laptop,North,12,142,1704
2023-01-03,Keyboard,East,7,196,1372
2023-07-25,Monitor,South,11,1304,14344
2023-08-02,Keyboard,South,2,324,648
2023-08-15,Laptop,South,5,1292,6460
2023-03-10,Tablet,East,14,230,3220
2023-03-02,Keyboard,South,11,927,10197
2023-02-23,Laptop,South,5,1264,6320
2023-08-20,Laptop,East,20,1238,24760
2023-02-16,Keyboard,East,7,398,2786
2023-04-18,Monitor,South,12,881,10572
2023-10-17,Phone,North,15,732,10980
2023-03-27,Monitor,South,16,243,3888
2023-02-19,Monitor,East,11,223,2453
2023-05-06,Tablet,East,10,1004,10040
2023-04-03,Laptop,North,20,846,16920
2023-07-23,Tablet,East,11,1295,14245
